alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=80
machine_num=20
pop_size=100
Threshold=13258
scenario_num=20
{
	{
		{73, 43, 85, 76, 88, 20, 12, 98, 80, 31, 74, 26, 76, 54, 50, 64, 80, 39, 25, 91},
		{54, 94, 22, 32, 47, 67, 45, 38, 64, 48, 41, 24, 85, 28, 82, 20, 80, 35, 56, 57},
		{69, 65, 82, 14, 32, 38, 13, 67, 43, 52, 24, 55, 19, 55, 19, 73, 99, 90, 76, 34},
		{95, 64, 35, 64, 78, 64, 95, 79, 53, 34, 23, 29, 15, 73, 43, 12, 35, 99, 21, 21},
		{98, 87, 79, 62, 36, 30, 67, 33, 50, 25, 49, 90, 81, 51, 27, 51, 81, 58, 96, 55},
		{76, 66, 32, 66, 53, 57, 89, 62, 65, 58, 43, 36, 56, 67, 67, 27, 85, 27, 73, 33},
		{15, 32, 48, 49, 76, 71, 72, 34, 81, 66, 93, 21, 38, 55, 96, 23, 70, 68, 57, 95},
		{18, 85, 58, 59, 86, 68, 62, 97, 76, 55, 93, 31, 81, 38, 11, 20, 78, 37, 51, 61},
		{41, 36, 10, 37, 78, 90, 17, 30, 63, 28, 90, 42, 14, 67, 89, 16, 15, 54, 37, 49},
		{23, 89, 84, 60, 13, 86, 16, 86, 58, 41, 51, 52, 52, 29, 54, 74, 65, 93, 65, 44},
		{11, 35, 21, 49, 94, 41, 63, 73, 35, 70, 52, 18, 86, 17, 37, 93, 12, 62, 20, 97},
		{71, 28, 46, 30, 10, 31, 91, 78, 51, 28, 50, 31, 35, 34, 33, 81, 65, 49, 88, 64},
		{71, 40, 54, 77, 72, 20, 77, 10, 59, 44, 41, 16, 71, 10, 33, 39, 74, 35, 98, 37},
		{11, 23, 92, 84, 58, 97, 45, 61, 62, 59, 21, 21, 20, 53, 55, 28, 85, 14, 85, 35},
		{49, 81, 42, 27, 43, 94, 81, 25, 88, 81, 61, 25, 66, 55, 85, 65, 72, 53, 40, 67},
		{46, 61, 72, 93, 19, 87, 80, 76, 21, 67, 23, 75, 53, 96, 28, 18, 63, 97, 65, 35},
		{30, 59, 46, 12, 93, 77, 81, 84, 94, 55, 18, 88, 46, 75, 13, 19, 84, 19, 44, 32},
		{35, 89, 23, 35, 86, 81, 33, 56, 34, 25, 78, 24, 30, 56, 31, 36, 91, 25, 91, 38},
		{68, 28, 73, 94, 36, 36, 61, 71, 96, 63, 43, 26, 26, 48, 15, 29, 22, 55, 70, 70},
