alpha=0.2
gamma=0.6
selection_rate=0.5
max_gen=6000
job_num=600
machine_num=20
pop_size=100
Threshold=77074
scenario_num=20
{
	{
		{53, 44, 60, 79, 45, 96, 74, 56, 5, 18, 8, 31, 69, 5, 36, 32, 11, 60, 51, 49},
		{99, 10, 78, 69, 42, 87, 15, 34, 84, 44, 36, 87, 75, 23, 3, 11, 94, 43, 22, 94},
		{45, 37, 53, 60, 61, 63, 31, 32, 39, 60, 89, 52, 67, 61, 45, 21, 38, 6, 42, 5},
		{91, 5, 40, 42, 61, 51, 50, 13, 53, 39, 97, 37, 28, 51, 93, 37, 63, 64, 54, 35},
		{48, 55, 33, 74, 9, 61, 43, 12, 55, 51, 46, 16, 97, 81, 52, 9, 50, 25, 24, 46},
		{59, 38, 51, 73, 93, 52, 54, 15, 62, 38, 83, 5, 22, 12, 78, 46, 77, 26, 73, 18},
		{15, 98, 55, 24, 68, 93, 26, 68, 68, 75, 28, 66, 78, 82, 6, 47, 58, 64, 16, 83},
		{83, 24, 27, 61, 1, 49, 50, 54, 22, 54, 72, 38, 85, 83, 84, 69, 91, 24, 44, 44},
		{57, 52, 88, 68, 98, 43, 49, 22, 49, 80, 77, 95, 13, 54, 68, 39, 20, 69, 50, 58},
		{23, 52, 18, 46, 91, 75, 54, 80, 58, 26, 30, 30, 31, 36, 46, 32, 11, 45, 68, 76},
		{99, 51, 43, 64, 13, 67, 70, 62, 47, 23, 75, 81, 17, 53, 10, 59, 46, 50, 84, 57},
		{31, 72, 91, 2, 58, 73, 47, 26, 85, 36, 49, 59, 31, 54, 52, 92, 37, 44, 91, 74},
		{55, 17, 93, 87, 64, 2, 71, 39, 3, 32, 46, 84, 75, 5, 39, 75, 6, 67, 28, 94},
		{29, 85, 75, 17, 43, 40, 7, 99, 79, 77, 9, 35, 27, 84, 21, 91, 89, 97, 60, 70},
		{17, 80, 79, 47, 54, 68, 51, 53, 39, 88, 43, 8, 10, 33, 13, 52, 60, 15, 29, 77},
		{75, 58, 5, 70, 2, 69, 79, 46, 60, 47, 50, 84, 60, 31, 56, 48, 94, 94, 41, 21},
		{49, 88, 18, 63, 93, 66, 7, 34, 71, 36, 80, 40, 29, 14, 32, 57, 26, 36, 24, 77},
		{66, 15, 8, 34, 93, 74, 83, 10, 79, 5, 9, 84, 32, 53, 76, 68, 48, 27, 95, 41},
		{73, 23, 16, 61, 56, 59, 23, 60, 93, 68, 9, 34, 59, 3, 82, 87, 43, 23, 27, 99},
		{32, 79, 50, 94, 10, 84, 68, 93, 70, 90, 87, 73, 63, 92, 88, 39, 35, 48, 46, 52},
		{24, 76, 52, 51, 6, 88, 90, 39, 48, 99, 82, 86, 21, 47, 73, 54, 87, 63, 45, 23},
		{71, 13, 72, 78, 7, 82, 19, 89, 48, 51, 7, 1, 24, 9, 55, 85, 67, 27, 95, 87},
		{41, 89, 83, 48, 68, 57, 99, 79, 95, 36, 66, 17, 63, 94, 7, 76, 99, 94, 55, 15},
		{94, 74, 27, 61, 10, 12, 13, 36, 65, 44, 17, 73, 2, 18, 79, 62, 52, 84, 37, 85},
		{96, 13, 37, 32, 69, 34, 4, 69, 53, 49, 2, 27, 29, 74, 40, 95, 2, 1, 32, 27},
		{97, 82, 75, 61, 55, 98, 72, 62, 73, 84, 87, 5, 60, 65, 17, 93, 14, 79, 70, 46},
		{55, 82, 14, 91, 12, 36, 41, 79, 95, 69, 65, 87, 5, 83, 29, 58, 31, 76, 15, 80},
		{70, 57, 45, 72, 55, 66, 19, 61, 93, 9, 23, 57, 46, 10, 51, 40, 46, 32, 66, 58},
		{76, 74, 24, 68, 57, 99, 85, 43, 15, 97, 21, 88, 79, 79, 74, 86, 42, 48, 15, 45},
		{28, 73, 31, 48, 37, 30, 51, 47, 60, 15, 67, 85, 69, 79, 51, 73, 45, 56, 68, 39},
		{95, 64, 96, 42, 57, 80, 62, 53, 48, 14, 21, 73, 81, 82, 73, 64, 95, 88, 74, 90},
		{92, 59, 45, 44, 84, 78, 45, 5, 43, 4, 11, 97, 99, 14, 60, 51, 92, 76, 92, 37},
		{94, 3, 38, 51, 57, 62, 17, 52, 1, 99, 86, 95, 44, 32, 57, 59, 80, 37, 84, 94},
		{29, 74, 4, 64, 38, 58, 63, 53, 67, 48, 10, 82, 59, 74, 19, 29, 98, 40, 19, 67},
		{49, 95, 83, 34, 4, 41, 73, 75, 97, 42, 32, 35, 8, 51, 33, 50, 19, 18, 79, 87},
		{14, 71, 43, 99, 7, 36, 33, 5, 1, 27, 33, 8, 50, 78, 25, 90, 43, 34, 49, 72},
		{76, 30, 41, 42, 82, 13, 89, 33, 83, 57, 1, 84, 97, 50, 31, 25, 62, 12, 80, 98},
		{39, 42, 89, 35, 9, 5, 25, 5, 75, 30, 79, 67, 94, 11, 83, 15, 82, 34, 3, 89},
		{44, 48, 45, 30, 92, 57, 23, 25, 84, 7, 6, 5, 82, 5, 81, 19, 47, 9, 82, 33},
		{96, 99, 65, 40, 33, 81, 47, 4, 53, 16, 67, 74, 2, 26, 65, 24, 70, 60, 69, 70},
		{80, 53, 59, 29, 13, 10, 12, 24, 93, 27, 11, 42, 12, 37, 31, 85, 9, 92, 94, 19},
		{66, 55, 75, 6, 77, 47, 56, 40, 42, 68, 82, 83, 54, 72, 91, 11, 22, 93, 72, 20},
		{59, 93, 74, 9, 62, 69, 14, 16, 52, 54, 34, 80, 68, 36, 87, 77, 90, 97, 35, 65},
		{65, 15, 98, 18, 84, 21, 63, 1, 68, 80, 55, 43, 84, 1, 61, 26, 4, 87, 8, 43},
		{74, 75, 54, 21, 71, 83, 99, 7, 87, 92, 93, 69, 31, 88, 68, 41, 88, 77, 85, 32},
		{18, 76, 53, 14, 78, 48, 19, 65, 83, 50, 15, 48, 94, 69, 79, 97, 99, 50, 21, 7},
		{58, 2, 9, 51, 74, 86, 38, 83, 98, 6, 37, 86, 20, 3, 53, 8, 24, 3, 5, 51},
		{97, 42, 53, 58, 48, 96, 49, 65, 47, 70, 46, 3, 31, 38, 16, 99, 10, 98, 64, 38},
		{95, 50, 74, 43, 53, 3, 94, 82, 43, 40, 19, 81, 78, 83, 18, 44, 31, 77, 62, 6},
		{36, 13, 14, 87, 79, 64, 70, 72, 7, 77, 44, 32, 22, 6, 85, 92, 28, 56, 89, 61},
		{22, 58, 7, 42, 75, 37, 31, 94, 60, 15, 79, 62, 4, 54, 77, 27, 35, 61, 68, 63},
		{30, 78, 28, 67, 75, 48, 38, 38, 1, 22, 95, 96, 39, 54, 27, 16, 73, 36, 28, 57},
		{10, 59, 22, 42, 97, 15, 66, 83, 79, 97, 99, 10, 54, 9, 49, 53, 64, 27, 59, 75},
		{26, 45, 57, 74, 73, 10, 65, 21, 34, 37, 26, 13, 91, 55, 17, 5, 19, 78, 21, 88},
		{16, 80, 82, 98, 39, 43, 95, 62, 36, 61, 9, 63, 88, 7, 76, 6, 44, 40, 20, 14},
		{29, 64, 49, 85, 24, 55, 89, 41, 19, 54, 34, 5, 72, 58, 80, 76, 80, 79, 45, 13},
		{32, 96, 89, 90, 88, 90, 51, 89, 54, 64, 58, 71, 58, 15, 64, 58, 7, 30, 84, 46},
		{83, 97, 29, 52, 27, 10, 40, 96, 77, 61, 3, 66, 44, 76, 3, 97, 69, 66, 5, 26},
		{3, 62, 5, 31, 47, 73, 43, 24, 5, 54, 37, 66, 91, 8, 7, 8, 7, 74, 16, 20},
		{43, 86, 58, 5, 76, 29, 48, 31, 84, 23, 63, 34, 41, 77, 31, 58, 56, 94, 74, 88},
		{20, 82, 18, 73, 54, 64, 44, 80, 15, 22, 3, 82, 31, 13, 22, 81, 22, 47, 92, 18},
		{66, 63, 81, 77, 61, 50, 27, 7, 12, 21, 21, 99, 20, 69, 91, 13, 26, 59, 22, 9},
		{79, 57, 43, 87, 26, 30, 43, 80, 18, 75, 14, 2, 36, 45, 28, 38, 45, 87, 60, 85},
		{50, 42, 23, 70, 30, 16, 69, 20, 30, 32, 81, 69, 79, 42, 8, 2, 18, 19, 20, 31},
		{88, 93, 30, 84, 83, 69, 7, 50, 72, 51, 74, 53, 10, 89, 15, 31, 67, 2, 90, 17},
		{89, 32, 81, 38, 15, 50, 82, 36, 21, 15, 49, 10, 49, 67, 15, 64, 33, 63, 67, 87},
		{48, 42, 62, 65, 33, 68, 31, 91, 59, 63, 89, 58, 51, 91, 47, 17, 34, 36, 97, 49},
