alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=100
machine_num=10
pop_size=100
Threshold=12194
scenario_num=20
{
	{
		{96, 65, 77, 86, 26, 71, 41, 96, 27, 99},
		{39, 51, 11, 65, 68, 48, 57, 37, 25, 53},
		{69, 34, 91, 10, 42, 69, 23, 21, 12, 39},
		{83, 94, 96, 50, 72, 25, 87, 36, 40, 31},
		{91, 34, 27, 19, 54, 36, 89, 44, 28, 86},
		{33, 64, 44, 16, 99, 68, 83, 40, 55, 42},
		{32, 16, 95, 68, 77, 33, 50, 60, 48, 83},
		{80, 22, 11, 61, 79, 63, 17, 51, 36, 85},
		{33, 34, 91, 17, 56, 94, 59, 18, 57, 56},
		{91, 27, 93, 50, 31, 38, 74, 57, 46, 57},
		{14, 20, 90, 82, 92, 74, 73, 83, 34, 36},
		{62, 37, 45, 80, 39, 21, 89, 84, 14, 35},
		{73, 25, 45, 18, 74, 63, 90, 23, 58, 54},
		{58, 61, 73, 31, 53, 80, 67, 68, 35, 23},
		{93, 94, 22, 22, 85, 18, 86, 38, 53, 24},
		{63, 13, 69, 45, 81, 22, 43, 20, 28, 75},
		{29, 81, 54, 47, 18, 23, 84, 69, 86, 69},
		{61, 83, 50, 87, 88, 58, 22, 29, 87, 13},
		{94, 34, 40, 92, 33, 39, 51, 10, 55, 95},
		{59, 16, 98, 38, 62, 20, 67, 40, 42, 36},
		{79, 17, 93, 94, 61, 40, 78, 88, 82, 18},
		{62, 96, 66, 94, 12, 72, 92, 75, 43, 56},
		{29, 38, 84, 16, 30, 31, 36, 26, 37, 47},
		{65, 91, 91, 71, 33, 74, 49, 38, 54, 97},
		{51, 19, 15, 60, 19, 71, 82, 31, 74, 12},
		{45, 21, 63, 93, 77, 77, 64, 62, 88, 70},
		{65, 48, 20, 28, 55, 83, 30, 69, 64, 96},
		{67, 48, 42, 21, 38, 86, 60, 58, 79, 38},
		{50, 14, 90, 29, 10, 46, 92, 92, 15, 91},
		{18, 84, 22, 74, 64, 23, 79, 72, 47, 41},
		{33, 89, 61, 20, 15, 26, 59, 66, 33, 90},
		{54, 18, 31, 12, 91, 19, 17, 47, 69, 43},
		{81, 39, 51, 31, 64, 40, 34, 31, 72, 37},
		{32, 34, 57, 54, 51, 73, 85, 16, 36, 57},
		{71, 41, 85, 82, 80, 45, 76, 76, 96, 74},
		{15, 16, 45, 21, 84, 20, 99, 66, 27, 94},
		{32, 90, 56, 13, 61, 73, 55, 65, 95, 66},
		{15, 25, 37, 27, 14, 62, 84, 22, 72, 82},
		{16, 30, 76, 49, 28, 56, 22, 37, 30, 42},
		{27, 87, 38, 10, 73, 98, 59, 74, 30, 77},
		{65, 43, 53, 67, 46, 48, 14, 78, 85, 29},
		{62, 88, 16, 82, 82, 73, 10, 17, 37, 82},
		{63, 57, 32, 68, 18, 39, 65, 96, 52, 31},
		{52, 91, 17, 73, 35, 17, 29, 43, 79, 14},
		{32, 77, 84, 25, 91, 61, 40, 80, 36, 73},
		{18, 92, 78, 87, 97, 99, 91, 68, 82, 83},
		{67, 65, 33, 79, 11, 53, 32, 37, 97, 63},
		{12, 88, 63, 88, 51, 13, 35, 30, 53, 22},
		{73, 80, 59, 94, 40, 97, 93, 60, 70, 31},
		{28, 41, 17, 69, 39, 38, 29, 68, 32, 39},
		{10, 65, 76, 73, 39, 27, 66, 91, 27, 60},
		{40, 59, 83, 76, 29, 65, 70, 14, 86, 81},
		{26, 15, 27, 94, 43, 28, 47, 98, 42, 87},
		{92, 76, 77, 47, 47, 22, 21, 31, 16, 70},
		{32, 20, 58, 81, 52, 47, 71, 10, 80, 98},
		{75, 30, 77, 30, 54, 80, 98, 32, 32, 13},
		{91, 80, 17, 34, 35, 93, 58, 41, 98, 50},
		{84, 57, 38, 64, 86, 96, 81, 69, 99, 51},
		{40, 19, 65, 79, 98, 33, 89, 48, 34, 84},
		{10, 84, 23, 33, 96, 11, 58, 50, 50, 53},
		{50, 81, 85, 35, 27, 68, 58, 65, 83, 95},
		{51, 61, 96, 13, 99, 23, 42, 98, 55, 43},
		{51, 62, 23, 37, 24, 71, 57, 36, 54, 84},
		{80, 82, 56, 57, 22, 31, 46, 15, 98, 23},
		{42, 32, 88, 23, 93, 54, 60, 89, 88, 75},
		{93, 53, 70, 36, 71, 41, 35, 88, 87, 46},
		{11, 47, 83, 41, 58, 47, 24, 28, 55, 64},
		{46, 22, 35, 35, 22, 75, 24, 89, 92, 92},
		{93, 44, 78, 15, 79, 37, 11, 46, 68, 34},
		{55, 59, 43, 33, 55, 75, 73, 71, 44, 41},
		{13, 34, 44, 45, 13, 39, 70, 71, 86, 50},
		{22, 72, 91, 28, 91, 64, 79, 78, 34, 77},
