alpha=0.2
gamma=0.6
selection_rate=1
max_gen=5000
job_num=40
machine_num=15
pop_size=100
Threshold=4812
scenario_num=20
{
	{
		{61, 57, 51, 51, 58, 63, 68, 76, 26, 65, 76, 52, 90, 61, 59},
		{59, 93, 98, 18, 50, 71, 88, 23, 99, 62, 97, 65, 21, 26, 63},
		{90, 81, 67, 47, 50, 55, 15, 84, 70, 81, 93, 24, 57, 30, 87},
		{93, 16, 69, 46, 50, 64, 12, 82, 84, 76, 51, 39, 22, 80, 50},
		{95, 93, 55, 46, 67, 21, 88, 94, 64, 59, 21, 99, 29, 82, 55},
		{22, 79, 98, 26, 32, 13, 81, 25, 32, 24, 54, 76, 72, 58, 94},
		{73, 62, 16, 64, 47, 73, 17, 69, 70, 67, 55, 88, 73, 83, 94},
		{10, 57, 40, 36, 44, 80, 56, 64, 42, 14, 24, 35, 28, 65, 45},
		{41, 77, 79, 85, 87, 62, 51, 42, 22, 81, 40, 56, 76, 78, 81},
		{94, 31, 60, 63, 87, 81, 22, 46, 72, 42, 54, 49, 83, 89, 35},
		{93, 11, 42, 13, 19, 84, 77, 17, 53, 61, 92, 90, 30, 90, 55},
		{38, 15, 11, 95, 95, 84, 16, 13, 46, 46, 47, 42, 19, 70, 80},
		{23, 22, 94, 83, 15, 69, 59, 76, 85, 99, 66, 90, 54, 69, 32},
		{11, 25, 53, 62, 20, 40, 93, 25, 10, 47, 90, 54, 49, 79, 54},
		{29, 49, 36, 18, 29, 67, 34, 82, 20, 28, 56, 97, 27, 74, 82},
		{91, 54, 81, 37, 34, 99, 81, 57, 54, 32, 48, 80, 83, 13, 20},
		{71, 56, 41, 82, 84, 62, 45, 95, 54, 26, 93, 21, 18, 47, 49},
		{86, 84, 74, 72, 56, 43, 47, 53, 53, 44, 22, 61, 45, 68, 94},
		{25, 20, 29, 51, 10, 78, 58, 31, 21, 56, 62, 11, 23, 11, 36},
		{50, 62, 39, 61, 35, 89, 69, 85, 56, 21, 34, 63, 40, 80, 39},
		{49, 84, 19, 12, 74, 57, 10, 59, 97, 30, 52, 76, 89, 79, 89},
		{98, 87, 97, 25, 55, 94, 24, 20, 16, 10, 21, 81, 80, 32, 88},
		{83, 60, 64, 83, 62, 76, 86, 45, 59, 86, 42, 63, 73, 51, 12},
		{30, 20, 96, 69, 79, 53, 88, 82, 80, 10, 35, 72, 40, 91, 58},
		{48, 63, 71, 67, 44, 13, 19, 87, 85, 81, 25, 60, 48, 82, 94},
		{32, 82, 98, 95, 25, 86, 26, 63, 92, 22, 95, 84, 55, 28, 58},
		{10, 59, 32, 36, 29, 51, 71, 35, 51, 38, 27, 53, 57, 22, 52},
		{62, 72, 29, 66, 39, 98, 45, 59, 62, 51, 67, 73, 60, 22, 60},
		{38, 72, 13, 35, 77, 73, 13, 35, 64, 69, 35, 18, 43, 74, 58},
		{57, 84, 14, 54, 70, 96, 18, 31, 29, 65, 16, 37, 53, 31, 91},
		{59, 92, 58, 53, 72, 45, 50, 66, 46, 71, 45, 23, 73, 28, 33},
		{88, 84, 50, 30, 61, 40, 26, 49, 60, 86, 87, 99, 16, 84, 46},
		{82, 72, 51, 62, 95, 59, 17, 52, 16, 85, 44, 95, 23, 88, 95},
		{30, 85, 13, 35, 97, 54, 80, 17, 63, 39, 64, 70, 53, 86, 90},
		{46, 23, 30, 53, 98, 31, 89, 75, 79, 30, 29, 85, 71, 32, 48},
		{64, 63, 67, 46, 83, 75, 99, 65, 12, 35, 71, 56, 18, 53, 40},
		{64, 40, 60, 20, 22, 99, 84, 70, 24, 72, 57, 93, 95, 75, 90},
		{29, 48, 15, 35, 45, 95, 48, 16, 40, 49, 30, 36, 74, 86, 18},
		{76, 74, 68, 50, 57, 62, 89, 68, 71, 56, 46, 18, 42, 86, 54},
		{14, 61, 59, 69, 97, 68, 31, 98, 86, 21, 36, 38, 83, 55, 78}
	},
	{
		{61, 49, 28, 72, 20, 19, 32, 93, 78, 13, 28, 27, 49, 20, 25},
		{63, 72, 30, 16, 42, 98, 74, 85, 45, 28, 15, 17, 70, 69, 95},
		{80, 54, 62, 43, 34, 68, 93, 45, 71, 53, 29, 32, 16, 16, 63},
		{99, 23, 12, 50, 46, 32, 76, 83, 96, 14, 71, 53, 97, 10, 53},
		{32, 12, 98, 35, 61, 60, 83, 82, 22, 42, 43, 90, 17, 58, 30},
		{40, 28, 73, 62, 27, 19, 29, 45, 83, 25, 87, 50, 54, 47, 92},
		{58, 59, 78, 93, 73, 88, 60, 14, 53, 67, 83, 30, 89, 42, 96},
		{70, 43, 61, 28, 39, 20, 73, 65, 74, 10, 76, 76, 76, 41, 24},
		{22, 70, 92, 76, 12, 26, 69, 37, 63, 71, 63, 37, 85, 58, 92},
		{40, 30, 51, 44, 81, 27, 80, 89, 76, 59, 42, 34, 22, 71, 75},
