alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=100
machine_num=5
pop_size=100
Threshold=9275
scenario_num=20
{
	{
		{31, 60, 52, 48, 28},
		{30, 71, 20, 47, 27},
		{52, 57, 95, 95, 79},
		{27, 73, 74, 53, 47},
		{80, 28, 28, 13, 58},
		{34, 43, 54, 20, 66},
		{60, 68, 68, 22, 17},
		{43, 98, 49, 66, 35},
		{56, 64, 25, 61, 82},
		{62, 94, 80, 76, 63},
		{57, 29, 38, 63, 37},
		{52, 58, 83, 16, 88},
		{73, 25, 19, 33, 83},
		{27, 60, 93, 98, 59},
		{70, 48, 78, 40, 26},
		{76, 87, 68, 46, 68},
		{78, 81, 45, 30, 19},
		{87, 99, 48, 76, 12},
		{74, 49, 42, 59, 79},
		{95, 26, 69, 78, 12},
		{78, 63, 49, 46, 90},
		{59, 25, 95, 37, 36},
		{96, 26, 14, 69, 70},
		{89, 74, 79, 15, 40},
		{89, 55, 75, 88, 66},
		{25, 39, 56, 40, 75},
		{18, 93, 98, 65, 31},
		{83, 70, 50, 31, 76},
		{42, 79, 81, 28, 42},
		{44, 83, 50, 42, 14},
		{81, 43, 28, 32, 50},
		{19, 93, 49, 41, 73},
		{10, 96, 90, 42, 99},
		{54, 79, 48, 10, 91},
		{54, 85, 91, 47, 48},
		{50, 50, 66, 81, 60},
		{84, 74, 61, 95, 26},
		{60, 66, 37, 79, 99},
		{81, 73, 69, 96, 44},
		{16, 67, 81, 92, 94},
		{26, 69, 55, 56, 50},
		{47, 86, 51, 65, 60},
		{72, 77, 80, 16, 10},
		{52, 13, 20, 36, 83},
		{13, 73, 93, 62, 67},
		{89, 32, 79, 31, 63},
		{47, 26, 45, 67, 42},
		{21, 25, 95, 39, 33},
		{68, 49, 32, 78, 10},
		{51, 34, 95, 24, 16},
		{36, 99, 16, 74, 47},
		{57, 27, 44, 20, 47},
		{21, 54, 19, 13, 74},
		{71, 41, 44, 67, 13},
		{18, 31, 46, 16, 21},
		{50, 54, 43, 71, 89},
		{58, 69, 85, 71, 74},
		{47, 89, 60, 19, 98},
		{40, 87, 15, 87, 90},
		{72, 62, 88, 55, 63},
		{88, 66, 86, 17, 49},
		{63, 83, 49, 22, 75},
		{26, 92, 78, 12, 50},
		{11, 88, 30, 74, 91},
		{91, 50, 72, 20, 15},
		{12, 49, 28, 81, 72},
		{49, 14, 73, 98, 34},
		{20, 84, 37, 17, 41},
		{11, 55, 62, 87, 32},
		{72, 43, 79, 65, 54},
		{16, 14, 26, 58, 13},
		{26, 85, 53, 34, 87},
		{97, 52, 71, 25, 56},
		{44, 10, 79, 55, 14},
		{51, 49, 50, 38, 88},
		{36, 23, 66, 33, 53},
		{54, 47, 93, 38, 81},
		{69, 77, 83, 73, 17},
		{30, 34, 37, 83, 58},
		{66, 71, 89, 89, 99},
		{39, 47, 94, 87, 71},
		{11, 85, 97, 86, 12},
		{60, 56, 38, 11, 93},
		{33, 41, 35, 80, 62},
		{24, 34, 89, 64, 46},
		{37, 36, 84, 92, 49},
		{90, 44, 68, 67, 64},
		{22, 74, 68, 51, 33},
		{87, 66, 19, 71, 63},
		{13, 33, 62, 34, 45},
		{37, 53, 44, 52, 63},
		{12, 76, 36, 87, 59},
		{27, 72, 37, 95, 60},
		{49, 54, 69, 59, 39},
		{27, 74, 25, 44, 58},
		{45, 71, 62, 84, 90},
		{12, 16, 61, 91, 72},
		{18, 70, 49, 10, 55},
		{92, 64, 20, 76, 78},
		{35, 34, 34, 66, 83}
	},
	{
		{64, 92, 27, 91, 16},
		{12, 48, 37, 81, 46},
		{67, 93, 37, 44, 12},
		{57, 73, 23, 95, 88},
		{91, 34, 78, 16, 64},
		{45, 89, 68, 78, 74},
		{48, 52, 98, 95, 70},
		{31, 17, 45, 87, 19},
		{93, 62, 67, 49, 67},
		{54, 76, 57, 55, 53},
		{86, 16, 17, 31, 54},
		{84, 52, 68, 53, 60},
		{64, 64, 86, 46, 12},
		{52, 15, 89, 11, 67},
		{61, 26, 28, 69, 38},
		{48, 95, 53, 31, 13},
		{66, 65, 21, 15, 55},
		{76, 58, 87, 16, 67},
		{86, 10, 77, 19, 43},
		{54, 65, 20, 25, 47},
		{42, 82, 46, 58, 90},
		{93, 16, 52, 47, 80},
		{92, 48, 78, 77, 82},
		{78, 39, 26, 99, 17},
		{13, 47, 41, 51, 85},
		{28, 66, 70, 17, 55},
		{45, 52, 17, 25, 84},
		{31, 78, 84, 97, 66},
		{90, 13, 32, 76, 35},
		{34, 76, 48, 79, 81},
		{11, 59, 35, 95, 77},
		{94, 46, 83, 36, 63},
		{78, 79, 39, 27, 84},
		{80, 67, 14, 73, 82},
		{38, 31, 30, 78, 11},
		{94, 10, 39, 59, 80},
		{17, 88, 49, 92, 94},
		{21, 70, 43, 14, 17},
		{53, 50, 11, 42, 53},
		{29, 48, 76, 52, 50},
		{63, 44, 97, 93, 82},
		{75, 32, 33, 92, 80},
		{18, 84, 81, 18, 39},
		{21, 30, 83, 39, 45},
		{81, 99, 25, 74, 97},
		{55, 86, 65, 84, 66},
		{38, 67, 14, 52, 32},
		{26, 77, 24, 49, 25},
		{49, 94, 16, 58, 82},
		{89, 27, 27, 61, 32},
		{30, 86, 60, 50, 77},
		{43, 16, 76, 98, 27},
		{87, 75, 45, 49, 67},
		{64, 15, 71, 20, 98},
		{68, 61, 43, 45, 15},
		{44, 33, 43, 28, 57},
		{10, 52, 54, 46, 76},
		{65, 10, 61, 78, 53},
		{35, 70, 16, 51, 11},
		{93, 39, 56, 64, 65},
		{75, 95, 16, 31, 25},
		{96, 10, 29, 43, 33},
		{17, 17, 72, 66, 54},
		{19, 68, 43, 75, 74},
		{63, 59, 20, 99, 14},
		{21, 66, 15, 38, 78},
		{37, 90, 21, 17, 40},
		{62, 33, 29, 95, 24},
		{32, 97, 99, 85, 57},
		{25, 61, 20, 97, 30},
		{14, 29, 83, 10, 52},
		{35, 60, 44, 76, 87},
		{45, 71, 23, 43, 85},
		{36, 65, 69, 45, 50},
		{81, 53, 45, 79, 74},
		{89, 40, 42, 13, 37},
		{80, 96, 56, 93, 62},
		{90, 68, 28, 37, 53},
		{97, 60, 87, 65, 71},
		{68, 80, 40, 39, 11},
		{24, 73, 20, 52, 71},
		{90, 15, 42, 64, 37},
		{34, 21, 51, 45, 93},
		{36, 56, 92, 57, 53},
		{47, 13, 13, 84, 70},
		{97, 79, 61, 16, 55},
		{76, 33, 19, 92, 29},
		{89, 28, 78, 14, 12},
		{73, 75, 85, 53, 63},
		{45, 74, 78, 22, 76},
		{63, 68, 65, 54, 47},
		{27, 53, 79, 27, 48},
		{79, 26, 74, 47, 81},
		{90, 74, 51, 78, 77},
		{88, 67, 43, 96, 19},
		{33, 26, 34, 39, 24},
		{50, 73, 76, 10, 56},
		{91, 50, 58, 13, 98},
		{66, 93, 37, 10, 61},
		{40, 75, 36, 47, 41}
	},
	{
		{13, 83, 33, 40, 80},
		{61, 31, 50, 65, 12},
		{56, 54, 91, 72, 43},
		{94, 19, 58, 22, 37},
		{65, 87, 36, 19, 74},
		{12, 38, 74, 72, 46},
		{76, 82, 44, 63, 32},
		{85, 29, 84, 39, 76},
		{82, 22, 63, 62, 60},
		{90, 77, 89, 75, 79},
		{42, 17, 98, 31, 94},
		{98, 88, 47, 15, 45},
		{85, 25, 55, 82, 66},
		{92, 17, 16, 28, 93},
		{40, 60, 97, 34, 65},
		{14, 34, 89, 11, 87},
		{52, 52, 26, 97, 84},
		{55, 94, 27, 76, 36},
		{81, 66, 55, 11, 99},
		{88, 23, 25, 75, 28},
		{24, 70, 96, 69, 18},
		{24, 82, 30, 38, 14},
		{76, 67, 25, 82, 24},
		{86, 76, 33, 18, 75},
		{31, 81, 19, 94, 43},
		{70, 44, 26, 11, 84},
		{88, 85, 97, 87, 51},
		{94, 91, 53, 77, 53},
		{85, 52, 49, 74, 37},
		{80, 72, 56, 97, 64},
		{44, 37, 99, 87, 69},
		{20, 76, 70, 35, 76},
		{37, 99, 86, 39, 59},
		{38, 12, 55, 70, 44},
		{14, 69, 36, 63, 21},
		{87, 80, 35, 99, 19},
		{36, 66, 97, 53, 19},
		{26, 67, 52, 12, 50},
		{49, 44, 91, 65, 89},
		{79, 66, 13, 18, 34},
		{41, 54, 60, 20, 64},
		{52, 68, 44, 26, 59},
		{83, 93, 61, 85, 18},
		{44, 84, 50, 44, 89},
		{98, 10, 25, 64, 39},
		{99, 28, 98, 54, 85},
		{13, 41, 61, 37, 99},
		{52, 31, 70, 73, 98},
		{86, 77, 72, 78, 42},
		{43, 96, 64, 39, 23},
		{21, 62, 24, 42, 36},
		{81, 43, 67, 23, 63},
		{11, 23, 70, 68, 55},
		{78, 67, 72, 65, 89},
		{14, 30, 48, 93, 43},
		{72, 85, 81, 92, 22},
		{10, 49, 19, 61, 35},
		{52, 94, 77, 15, 78},
		{56, 49, 14, 37, 49},
		{67, 10, 35, 28, 17},
		{44, 77, 94, 89, 12},
		{73, 76, 67, 21, 70},
		{84, 48, 18, 87, 86},
		{63, 87, 47, 29, 72},
		{81, 13, 85, 20, 91},
		{17, 45, 80, 42, 15},
		{87, 63, 27, 13, 26},
		{94, 58, 92, 44, 10},
		{41, 60, 38, 98, 26},
		{61, 37, 13, 36, 89},
		{78, 88, 93, 59, 29},
		{29, 20, 99, 49, 44},
		{71, 58, 76, 44, 89},
		{48, 27, 18, 97, 27},
		{18, 75, 16, 95, 87},
		{84, 45, 65, 87, 11},
		{67, 23, 60, 68, 24},
		{17, 71, 84, 69, 63},
		{18, 21, 52, 98, 84},
		{12, 82, 24, 71, 65},
		{98, 61, 92, 45, 45},
		{77, 91, 13, 37, 93},
		{86, 98, 38, 66, 32},
		{77, 92, 17, 69, 27},
		{97, 89, 19, 85, 41},
		{89, 30, 70, 35, 96},
		{87, 29, 67, 51, 16},
		{23, 88, 75, 98, 65},
		{10, 87, 83, 76, 31},
		{34, 47, 79, 30, 79},
		{20, 54, 52, 44, 58},
		{24, 17, 39, 35, 12},
		{83, 80, 41, 66, 95},
		{54, 11, 80, 17, 44},
		{52, 86, 77, 78, 44},
		{90, 99, 27, 90, 42},
		{73, 22, 65, 58, 84},
		{89, 38, 92, 11, 94},
		{17, 22, 64, 29, 53},
		{10, 59, 13, 55, 36}
	},
	{
		{57, 28, 34, 34, 75},
		{60, 96, 41, 67, 16},
		{98, 22, 68, 98, 92},
		{58, 19, 96, 87, 90},
		{94, 79, 33, 66, 39},
		{14, 36, 95, 16, 82},
		{71, 17, 18, 90, 57},
		{36, 13, 90, 18, 60},
		{62, 49, 25, 60, 25},
		{33, 52, 26, 69, 70},
		{48, 84, 49, 24, 20},
		{53, 68, 59, 46, 38},
		{11, 11, 32, 79, 78},
		{70, 86, 44, 27, 22},
		{10, 19, 61, 74, 89},
		{97, 19, 57, 30, 40},
		{53, 25, 80, 45, 66},
		{62, 76, 57, 92, 97},
		{47, 86, 58, 13, 22},
		{47, 43, 22, 38, 27},
		{32, 34, 38, 54, 69},
		{20, 32, 46, 25, 16},
		{81, 85, 77, 16, 46},
		{80, 15, 94, 29, 44},
		{77, 21, 31, 50, 49},
		{13, 49, 79, 28, 41},
		{30, 33, 83, 36, 52},
		{58, 50, 25, 98, 70},
		{87, 81, 97, 56, 24},
		{39, 67, 14, 15, 55},
		{74, 86, 85, 41, 14},
		{20, 40, 67, 17, 56},
		{68, 14, 24, 35, 55},
		{40, 94, 66, 26, 12},
		{50, 53, 28, 28, 60},
		{33, 25, 50, 72, 28},
		{37, 90, 29, 39, 71},
		{59, 24, 93, 38, 35},
		{97, 13, 85, 61, 64},
		{12, 64, 65, 16, 46},
		{36, 58, 28, 64, 48},
		{64, 76, 70, 56, 31},
		{84, 19, 70, 72, 45},
		{61, 88, 59, 94, 47},
		{91, 11, 77, 89, 53},
		{69, 91, 90, 65, 79},
		{62, 28, 41, 21, 87},
		{10, 66, 40, 61, 84},
		{20, 73, 69, 73, 51},
		{64, 23, 68, 76, 64},
		{42, 58, 91, 16, 58},
		{75, 20, 11, 65, 17},
		{52, 44, 30, 13, 33},
		{88, 65, 77, 47, 35},
		{99, 36, 74, 83, 54},
		{25, 10, 51, 49, 30},
		{22, 68, 25, 40, 48},
		{43, 89, 65, 95, 30},
		{28, 10, 96, 27, 75},
		{88, 44, 97, 51, 12},
		{13, 44, 69, 92, 20},
		{41, 27, 93, 79, 44},
		{74, 20, 57, 79, 79},
		{91, 65, 88, 58, 90},
		{42, 62, 45, 45, 66},
		{71, 16, 28, 15, 68},
		{35, 51, 51, 29, 68},
		{67, 84, 99, 64, 97},
		{69, 16, 41, 84, 40},
		{93, 29, 39, 37, 24},
		{93, 61, 37, 16, 53},
		{92, 86, 43, 41, 18},
		{72, 99, 91, 99, 11},
		{85, 82, 22, 10, 59},
		{17, 45, 55, 57, 84},
		{43, 35, 29, 51, 25},
		{41, 35, 61, 98, 40},
		{50, 25, 69, 93, 21},
		{85, 75, 66, 10, 37},
		{68, 55, 69, 28, 23},
		{55, 81, 56, 52, 80},
		{58, 45, 12, 28, 48},
		{98, 11, 25, 58, 22},
		{63, 52, 24, 98, 41},
		{52, 22, 88, 66, 20},
		{77, 67, 90, 95, 89},
		{96, 30, 67, 62, 78},
		{67, 88, 65, 61, 30},
		{14, 53, 44, 41, 24},
		{96, 99, 44, 25, 90},
		{99, 65, 88, 80, 80},
		{33, 72, 64, 12, 31},
		{42, 43, 97, 15, 48},
		{99, 83, 99, 54, 49},
		{68, 20, 47, 12, 39},
		{56, 39, 78, 72, 83},
		{26, 72, 86, 72, 39},
		{67, 80, 20, 51, 26},
		{65, 18, 75, 96, 93},
		{82, 21, 17, 46, 40}
	},
	{
		{87, 97, 53, 57, 44},
		{32, 67, 59, 71, 73},
		{13, 78, 31, 63, 46},
		{81, 13, 67, 97, 14},
		{35, 28, 85, 22, 61},
		{10, 47, 85, 72, 64},
		{89, 55, 72, 55, 46},
		{95, 15, 69, 77, 67},
		{44, 19, 40, 25, 50},
		{32, 63, 50, 60, 80},
		{52, 14, 81, 50, 10},
		{39, 63, 73, 38, 62},
		{51, 51, 12, 60, 68},
		{95, 79, 73, 57, 72},
		{62, 83, 35, 44, 72},
		{88, 23, 67, 41, 54},
		{24, 79, 97, 72, 45},
		{36, 90, 81, 97, 82},
		{48, 54, 41, 40, 60},
		{65, 52, 25, 44, 36},
		{77, 50, 38, 57, 59},
		{96, 23, 70, 92, 35},
		{61, 84, 31, 50, 54},
		{60, 71, 65, 35, 36},
		{98, 20, 48, 32, 82},
		{27, 76, 52, 21, 10},
		{88, 51, 92, 17, 46},
		{26, 90, 87, 66, 57},
		{92, 73, 68, 92, 33},
		{72, 76, 38, 68, 50},
		{66, 77, 20, 50, 28},
		{93, 73, 86, 48, 57},
		{26, 21, 92, 67, 47},
		{45, 46, 27, 99, 72},
		{69, 60, 19, 77, 61},
		{49, 59, 38, 96, 40},
		{82, 24, 68, 93, 52},
		{50, 30, 99, 11, 31},
		{77, 98, 24, 65, 21},
		{83, 45, 15, 32, 40},
		{61, 84, 31, 91, 42},
		{93, 54, 14, 68, 88},
		{56, 80, 58, 85, 95},
		{88, 51, 39, 68, 51},
		{15, 38, 26, 93, 72},
		{80, 95, 40, 31, 50},
		{24, 95, 58, 45, 19},
		{77, 19, 34, 51, 20},
		{80, 25, 54, 51, 18},
		{72, 54, 99, 82, 76},
		{60, 21, 24, 27, 93},
		{68, 74, 62, 61, 36},
		{11, 74, 16, 48, 31},
		{23, 37, 72, 25, 20},
		{79, 74, 17, 39, 58},
		{36, 11, 70, 61, 12},
		{74, 27, 27, 78, 32},
		{74, 27, 55, 20, 32},
		{54, 32, 90, 70, 53},
		{98, 63, 64, 10, 42},
		{84, 65, 96, 27, 41},
		{64, 98, 10, 36, 54},
		{26, 56, 15, 94, 32},
		{17, 76, 18, 17, 31},
		{84, 32, 34, 53, 82},
		{22, 73, 76, 98, 67},
		{73, 23, 76, 11, 24},
		{27, 72, 10, 82, 50},
		{69, 63, 27, 24, 68},
		{16, 88, 72, 80, 90},
		{70, 57, 72, 43, 70},
		{41, 65, 16, 29, 67},
		{33, 81, 27, 86, 89},
		{72, 26, 50, 35, 15},
		{96, 84, 76, 89, 65},
		{86, 57, 75, 96, 69},
		{76, 96, 78, 19, 81},
		{30, 66, 29, 84, 77},
		{21, 73, 18, 95, 98},
		{26, 17, 61, 72, 28},
		{61, 40, 72, 39, 32},
		{28, 70, 71, 33, 82},
		{37, 23, 34, 86, 33},
		{14, 96, 94, 43, 56},
		{57, 10, 15, 88, 37},
		{33, 73, 31, 65, 69},
		{29, 14, 37, 37, 64},
		{54, 90, 43, 78, 95},
		{83, 86, 25, 99, 11},
		{32, 96, 62, 78, 74},
		{57, 91, 70, 64, 48},
		{45, 18, 63, 14, 41},
		{83, 40, 40, 49, 44},
		{43, 67, 18, 56, 42},
		{32, 28, 48, 65, 68},
		{68, 66, 91, 19, 94},
		{40, 23, 21, 71, 54},
		{52, 60, 77, 84, 18},
		{74, 82, 23, 41, 73},
		{10, 33, 34, 96, 33}
	},
	{
		{26, 13, 81, 45, 70},
		{13, 15, 27, 20, 39},
		{27, 74, 51, 21, 74},
		{64, 76, 94, 83, 26},
		{64, 97, 35, 69, 10},
		{61, 24, 83, 43, 68},
		{57, 92, 72, 33, 33},
		{90, 57, 56, 20, 84},
		{29, 48, 85, 16, 37},
		{64, 87, 63, 80, 34},
		{18, 85, 52, 51, 36},
		{89, 56, 46, 89, 77},
		{63, 74, 68, 70, 84},
		{83, 56, 49, 39, 96},
		{88, 69, 12, 83, 71},
		{70, 10, 41, 27, 46},
		{84, 19, 99, 12, 42},
		{98, 96, 77, 72, 65},
		{15, 70, 53, 84, 46},
		{38, 70, 38, 81, 30},
		{56, 96, 57, 61, 97},
		{32, 29, 66, 10, 30},
		{61, 75, 68, 88, 31},
		{30, 30, 53, 38, 71},
		{20, 10, 19, 36, 15},
		{87, 45, 44, 81, 39},
		{31, 96, 22, 60, 97},
		{85, 69, 80, 41, 37},
		{12, 13, 89, 81, 44},
		{34, 81, 28, 31, 10},
		{58, 78, 93, 31, 29},
		{56, 94, 39, 91, 85},
		{28, 71, 52, 20, 90},
		{38, 99, 92, 51, 43},
		{52, 14, 93, 82, 91},
		{63, 12, 46, 33, 84},
		{71, 66, 55, 95, 38},
		{40, 38, 40, 42, 86},
		{99, 61, 62, 23, 31},
		{37, 58, 50, 10, 65},
		{42, 38, 53, 86, 17},
		{50, 35, 29, 26, 95},
		{41, 92, 34, 40, 13},
		{30, 91, 18, 20, 12},
		{72, 17, 31, 72, 92},
		{55, 57, 60, 32, 79},
		{19, 29, 57, 89, 51},
		{46, 72, 12, 85, 54},
		{13, 20, 21, 81, 37},
		{58, 36, 94, 71, 98},
		{57, 75, 54, 49, 17},
		{16, 35, 68, 60, 17},
		{68, 30, 31, 63, 72},
		{93, 85, 53, 59, 33},
		{74, 96, 45, 95, 39},
		{76, 22, 38, 14, 49},
		{86, 10, 13, 32, 20},
		{13, 50, 37, 59, 67},
		{42, 18, 22, 87, 79},
		{66, 32, 39, 41, 41},
		{47, 65, 57, 44, 46},
		{29, 67, 17, 64, 18},
		{20, 51, 43, 81, 82},
		{30, 54, 14, 60, 78},
		{92, 66, 58, 64, 44},
		{30, 61, 34, 43, 53},
		{22, 39, 87, 13, 80},
		{77, 76, 29, 30, 13},
		{42, 18, 23, 62, 81},
		{51, 58, 55, 56, 63},
		{39, 87, 81, 50, 83},
		{51, 90, 90, 64, 20},
		{68, 71, 16, 38, 14},
		{65, 18, 29, 54, 88},
