alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=200
machine_num=10
pop_size=100
Threshold=23981
scenario_num=20
{
	{
		{64, 69, 83, 36, 83, 87, 96, 31, 31, 35},
		{34, 35, 80, 35, 85, 47, 14, 75, 29, 72},
		{74, 48, 58, 52, 18, 68, 64, 98, 79, 60},
		{32, 63, 43, 72, 59, 74, 71, 49, 66, 59},
		{59, 26, 37, 74, 87, 17, 38, 94, 10, 52},
		{40, 25, 99, 14, 34, 23, 33, 87, 74, 55},
		{68, 27, 72, 17, 36, 88, 76, 62, 80, 63},
		{42, 22, 26, 92, 15, 29, 88, 11, 49, 55},
		{86, 92, 18, 88, 30, 76, 96, 37, 51, 33},
		{85, 64, 49, 58, 97, 43, 52, 13, 75, 99},
		{35, 97, 95, 97, 86, 62, 22, 49, 39, 77},
		{57, 31, 10, 88, 53, 41, 99, 44, 34, 67},
		{96, 97, 27, 25, 56, 16, 85, 25, 18, 62},
		{30, 47, 84, 58, 59, 51, 12, 34, 48, 60},
		{55, 71, 75, 13, 98, 22, 95, 13, 92, 42},
		{36, 89, 41, 78, 14, 35, 53, 59, 59, 73},
		{51, 12, 19, 65, 55, 53, 64, 38, 59, 60},
		{39, 83, 14, 89, 13, 46, 46, 97, 44, 78},
		{49, 92, 13, 20, 81, 79, 44, 25, 30, 53},
		{54, 23, 62, 35, 32, 85, 11, 12, 96, 69},
		{25, 95, 30, 17, 43, 44, 25, 45, 59, 72},
		{11, 40, 44, 76, 54, 33, 35, 81, 46, 72},
		{97, 83, 78, 97, 13, 20, 63, 14, 45, 93},
		{34, 67, 73, 22, 40, 61, 90, 96, 42, 56},
		{60, 33, 72, 50, 84, 53, 68, 24, 80, 17},
		{20, 24, 74, 57, 41, 13, 52, 80, 19, 39},
		{43, 86, 93, 20, 24, 18, 51, 89, 22, 14},
		{26, 38, 39, 19, 27, 50, 54, 38, 57, 37},
		{31, 56, 74, 61, 56, 33, 12, 74, 63, 42},
		{68, 41, 58, 29, 79, 61, 51, 38, 17, 77},
		{84, 85, 84, 43, 90, 39, 87, 14, 97, 72},
		{91, 84, 38, 88, 43, 27, 15, 47, 21, 22},
		{35, 27, 85, 63, 71, 37, 17, 36, 84, 76},
		{88, 51, 15, 53, 26, 72, 57, 36, 16, 51},
		{20, 63, 96, 39, 96, 88, 79, 71, 63, 59},
		{18, 14, 65, 50, 93, 12, 40, 32, 30, 98},
		{76, 19, 76, 87, 17, 88, 91, 23, 92, 74},
		{16, 58, 75, 85, 91, 72, 31, 81, 87, 76},
		{31, 47, 95, 46, 40, 56, 89, 92, 60, 64},
		{14, 67, 95, 29, 36, 53, 98, 72, 20, 85},
		{43, 64, 52, 25, 63, 82, 18, 77, 44, 16},
		{50, 39, 72, 50, 14, 88, 32, 31, 69, 70},
		{89, 77, 77, 85, 52, 35, 29, 19, 79, 82},
		{45, 38, 68, 86, 97, 64, 98, 78, 62, 91},
		{59, 90, 47, 58, 12, 79, 71, 71, 20, 99},
		{15, 43, 14, 23, 90, 96, 70, 51, 14, 65},
		{63, 51, 93, 56, 83, 59, 51, 33, 15, 66},
		{40, 17, 62, 45, 23, 13, 75, 92, 76, 37},
		{40, 19, 18, 34, 54, 54, 47, 63, 15, 83},
		{84, 54, 66, 69, 87, 21, 12, 50, 48, 63},
		{22, 72, 61, 47, 16, 68, 41, 93, 35, 34},
		{20, 21, 29, 20, 50, 20, 76, 43, 54, 53},
		{83, 67, 73, 51, 69, 41, 10, 64, 51, 42},
		{16, 53, 96, 23, 43, 38, 96, 45, 28, 48},
		{66, 60, 79, 15, 27, 42, 13, 85, 69, 77},
		{38, 11, 45, 97, 45, 34, 71, 75, 42, 25},
		{45, 79, 79, 35, 45, 54, 71, 40, 92, 39},
		{92, 22, 86, 13, 98, 44, 52, 79, 27, 62},
		{70, 98, 79, 15, 92, 75, 49, 63, 30, 51},
		{66, 13, 77, 35, 47, 86, 69, 31, 18, 34},
		{28, 38, 72, 60, 32, 63, 59, 37, 86, 69},
		{56, 52, 84, 73, 67, 87, 41, 78, 67, 97},
		{88, 73, 77, 79, 90, 57, 30, 19, 57, 39},
		{42, 19, 34, 25, 17, 70, 60, 84, 79, 84},
		{90, 88, 34, 44, 79, 12, 40, 81, 44, 74},
		{34, 22, 85, 95, 69, 99, 79, 81, 88, 71},
		{79, 26, 52, 53, 38, 58, 26, 28, 34, 30},
		{63, 67, 21, 77, 52, 15, 77, 82, 86, 22},
		{24, 39, 95, 27, 44, 97, 10, 55, 74, 84},
		{31, 63, 80, 68, 99, 24, 22, 24, 14, 16},
		{98, 29, 71, 63, 36, 90, 30, 59, 29, 73},
		{69, 33, 79, 37, 27, 24, 84, 94, 91, 51},
		{23, 35, 12, 65, 93, 52, 77, 18, 18, 45},
		{17, 46, 79, 81, 80, 18, 88, 23, 28, 59},
		{61, 27, 46, 20, 42, 29, 21, 53, 81, 14},
		{94, 59, 17, 90, 48, 88, 72, 49, 28, 96},
		{33, 93, 66, 53, 42, 69, 66, 49, 43, 80},
		{87, 60, 93, 16, 59, 69, 58, 71, 92, 35},
		{95, 61, 67, 94, 73, 19, 37, 95, 41, 16},
		{35, 18, 11, 69, 59, 87, 17, 48, 95, 89},
		{97, 55, 19, 17, 24, 35, 37, 17, 55, 18},
		{20, 23, 68, 61, 13, 59, 36, 84, 56, 60},
		{72, 89, 35, 19, 29, 55, 32, 76, 38, 33},
		{91, 94, 17, 11, 10, 43, 91, 92, 24, 74},
		{84, 42, 28, 33, 29, 58, 40, 82, 48, 52},
		{21, 11, 32, 44, 42, 29, 59, 98, 50, 19},
		{41, 67, 44, 28, 13, 58, 93, 34, 41, 45},
		{59, 17, 31, 11, 69, 20, 28, 28, 30, 80},
		{33, 90, 15, 61, 77, 11, 72, 46, 66, 90},
		{71, 96, 33, 54, 86, 98, 78, 93, 51, 91},
		{98, 23, 71, 87, 42, 50, 30, 20, 88, 40},
		{50, 65, 35, 25, 82, 93, 42, 20, 53, 28},
		{14, 72, 28, 98, 23, 23, 93, 48, 20, 30},
		{76, 83, 97, 29, 44, 94, 59, 93, 20, 46},
		{48, 78, 10, 92, 83, 41, 12, 22, 78, 34},
		{74, 84, 29, 58, 30, 49, 36, 82, 12, 13},
		{59, 43, 94, 60, 63, 34, 31, 89, 35, 27},
		{78, 69, 48, 29, 36, 87, 32, 66, 40, 36},
		{52, 85, 26, 77, 60, 58, 50, 13, 25, 21},
		{87, 92, 59, 45, 18, 86, 88, 26, 26, 34},
		{16, 48, 11, 33, 98, 58, 52, 48, 94, 62},
		{62, 76, 38, 87, 70, 95, 85, 74, 75, 33},
		{43, 96, 40, 97, 18, 82, 82, 92, 56, 61},
		{74, 20, 10, 54, 89, 68, 20, 24, 77, 48},
		{32, 17, 57, 76, 65, 95, 30, 39, 20, 17},
		{20, 16, 52, 67, 65, 60, 32, 18, 85, 23},
		{63, 89, 66, 91, 53, 41, 58, 11, 83, 40},
		{90, 19, 95, 90, 41, 78, 55, 21, 77, 51},
		{15, 78, 73, 33, 64, 74, 93, 48, 16, 34},
		{19, 91, 68, 59, 41, 32, 49, 61, 69, 93},
		{85, 58, 73, 17, 58, 70, 92, 67, 63, 43},
		{83, 97, 25, 95, 52, 92, 91, 52, 85, 20},
		{86, 87, 82, 77, 14, 40, 79, 53, 85, 51},
		{37, 42, 23, 58, 69, 67, 85, 41, 36, 64},
		{13, 64, 33, 33, 59, 63, 24, 69, 67, 59},
		{37, 30, 70, 84, 13, 72, 58, 43, 48, 80},
		{42, 34, 45, 63, 50, 99, 52, 59, 97, 38},
		{33, 46, 12, 99, 81, 20, 71, 17, 19, 69},
		{60, 15, 60, 53, 76, 77, 11, 18, 71, 31},
		{74, 91, 48, 68, 57, 73, 62, 20, 85, 53},
		{76, 26, 57, 21, 30, 20, 14, 96, 24, 53},
		{47, 50, 82, 81, 77, 16, 61, 51, 64, 53},
		{37, 72, 36, 84, 40, 90, 29, 11, 30, 86},
		{71, 32, 47, 33, 16, 92, 97, 67, 23, 76},
		{26, 72, 20, 18, 21, 55, 10, 32, 20, 85},
		{69, 60, 53, 18, 38, 44, 11, 73, 56, 42},
		{30, 57, 97, 22, 17, 29, 94, 94, 14, 45},
		{55, 91, 12, 63, 79, 30, 73, 47, 51, 95},
		{74, 31, 98, 79, 12, 77, 33, 51, 25, 57},
		{90, 86, 76, 51, 60, 28, 11, 89, 28, 95},
		{95, 53, 18, 32, 85, 58, 33, 49, 49, 40},
		{91, 75, 62, 19, 55, 81, 59, 34, 40, 21},
		{83, 52, 13, 31, 93, 32, 34, 36, 17, 35},
		{16, 77, 39, 23, 30, 52, 79, 50, 79, 49},
		{33, 16, 90, 93, 23, 53, 97, 47, 18, 88},
		{84, 72, 43, 86, 94, 24, 43, 15, 10, 33},
		{27, 86, 11, 21, 15, 85, 51, 95, 12, 40},
		{66, 66, 64, 68, 40, 84, 23, 68, 86, 71},
		{26, 82, 13, 53, 60, 10, 83, 26, 68, 37},
		{55, 73, 54, 44, 85, 53, 10, 55, 55, 71},
		{95, 74, 58, 17, 95, 14, 84, 21, 42, 44},
		{83, 78, 52, 88, 40, 21, 23, 64, 37, 58},
		{91, 83, 85, 32, 19, 30, 56, 81, 30, 68},
		{68, 73, 68, 59, 92, 89, 87, 87, 66, 11},
		{11, 53, 37, 58, 72, 93, 83, 20, 89, 60},
		{41, 93, 87, 64, 10, 83, 62, 38, 24, 49},
		{46, 10, 73, 93, 96, 42, 97, 54, 60, 51},
		{50, 28, 72, 47, 17, 47, 51, 37, 63, 34},
		{13, 46, 20, 89, 61, 10, 88, 81, 41, 60},
		{22, 58, 94, 57, 52, 74, 30, 92, 25, 49},
		{21, 32, 61, 40, 91, 42, 18, 22, 79, 95},
		{26, 30, 77, 71, 53, 26, 82, 90, 34, 35},
		{84, 41, 46, 98, 25, 87, 17, 14, 41, 76},
		{95, 63, 55, 46, 34, 19, 36, 40, 16, 62},
		{41, 73, 44, 25, 23, 35, 33, 52, 10, 91},
		{83, 12, 21, 37, 38, 80, 89, 17, 97, 99},
		{39, 57, 65, 16, 42, 72, 12, 66, 56, 71},
		{13, 28, 39, 90, 48, 64, 74, 91, 93, 98},
		{81, 58, 90, 25, 55, 97, 45, 31, 89, 47},
		{76, 84, 38, 50, 77, 93, 89, 50, 27, 10},
		{13, 26, 90, 45, 21, 10, 85, 25, 49, 19},
		{70, 42, 65, 52, 23, 51, 29, 31, 39, 77},
		{62, 87, 36, 27, 16, 36, 42, 37, 66, 56},
		{18, 19, 22, 63, 44, 43, 15, 50, 71, 42},
		{18, 43, 53, 26, 77, 90, 63, 35, 85, 39},
		{87, 79, 56, 56, 90, 91, 40, 26, 57, 22},
		{61, 77, 43, 56, 63, 33, 78, 60, 26, 37},
		{57, 99, 23, 28, 81, 84, 97, 71, 89, 37},
		{10, 46, 10, 93, 87, 92, 37, 61, 21, 87},
		{93, 59, 18, 61, 91, 56, 63, 33, 80, 72},
		{29, 34, 53, 16, 14, 78, 50, 98, 49, 95},
		{92, 88, 56, 31, 32, 17, 54, 18, 91, 69},
		{62, 93, 83, 90, 28, 98, 92, 20, 48, 71},
		{74, 20, 63, 64, 73, 24, 58, 31, 21, 34},
		{12, 36, 33, 59, 88, 67, 77, 68, 69, 41},
		{39, 67, 26, 70, 10, 48, 13, 16, 74, 58},
		{33, 87, 70, 23, 39, 54, 62, 27, 48, 77},
		{41, 21, 30, 97, 78, 24, 35, 12, 60, 35},
		{80, 19, 78, 22, 59, 13, 42, 61, 24, 17},
		{73, 51, 69, 15, 40, 90, 47, 74, 96, 98},
		{98, 95, 17, 45, 99, 44, 56, 14, 98, 58},
		{64, 15, 49, 91, 43, 38, 53, 57, 86, 44},
		{62, 16, 65, 59, 25, 49, 42, 36, 18, 39},
		{57, 81, 21, 76, 68, 41, 66, 26, 76, 10},
		{90, 16, 83, 99, 49, 49, 85, 60, 15, 86},
		{81, 52, 76, 17, 42, 86, 41, 80, 50, 66},
		{31, 48, 52, 17, 72, 22, 77, 82, 23, 35},
		{87, 13, 41, 30, 68, 82, 74, 46, 13, 16},
		{16, 61, 40, 84, 38, 45, 55, 68, 44, 55},
		{57, 13, 63, 16, 52, 92, 51, 70, 70, 97},
		{16, 43, 96, 45, 23, 35, 91, 35, 93, 92},
		{94, 98, 84, 40, 36, 56, 82, 24, 69, 44},
		{63, 15, 93, 39, 63, 63, 45, 12, 61, 13},
		{16, 66, 16, 18, 28, 89, 12, 52, 21, 88},
		{38, 30, 76, 72, 81, 62, 46, 60, 89, 62},
		{10, 22, 70, 39, 71, 94, 78, 71, 34, 35},
		{61, 14, 76, 10, 22, 37, 58, 38, 33, 30},
		{36, 65, 91, 32, 14, 19, 14, 12, 40, 81},
		{90, 21, 32, 95, 15, 18, 79, 67, 80, 27},
		{97, 36, 98, 93, 86, 31, 54, 15, 10, 34}
	},
	{
		{63, 66, 22, 31, 68, 71, 84, 41, 86, 24},
		{15, 99, 55, 67, 61, 22, 70, 56, 18, 17},
		{96, 64, 51, 96, 77, 22, 35, 65, 89, 16},
		{24, 97, 11, 64, 52, 93, 44, 69, 64, 37},
		{99, 47, 35, 74, 46, 83, 32, 42, 80, 31},
		{49, 36, 33, 67, 36, 18, 31, 67, 16, 50},
		{66, 63, 70, 81, 83, 47, 79, 63, 80, 76},
		{27, 17, 23, 65, 92, 67, 43, 29, 90, 40},
		{94, 11, 44, 35, 10, 64, 54, 13, 14, 44},
		{10, 78, 56, 20, 74, 94, 44, 14, 97, 85},
		{15, 77, 96, 79, 17, 74, 34, 73, 91, 51},
		{97, 26, 53, 21, 98, 64, 25, 98, 44, 26},
		{91, 78, 41, 76, 34, 51, 18, 28, 61, 31},
		{17, 66, 96, 61, 68, 81, 95, 19, 65, 35},
		{41, 33, 67, 70, 99, 48, 86, 46, 34, 82},
